name,rating,cost_for_two
Molecule,4.4,"₹1,000 for two people (approx.) Without alcohol"
Kwality Restaurant,4.8,₹700 for two people (approx.)
Muscle Vision Nutrition,3.5,₹450 for two people (approx.)
Starbucks Coffee,4.4,₹900 for two people (approx.)
Xero Degrees,4.0,₹450 for two people (approx.)
Biryani By Kilo,4.6,₹700 for two people (approx.)
Param Food Complex,4.4,₹500 for two people (approx.)
Farzi Cafe,3.2,₹500 for two people (approx.)
McDonald's,4.1,₹500 for two people (approx.)
"VYB - Cafe, Bar, Rooftop, Kitchen",4.0,"₹1,400 for two people (approx.) with alcohol"
Todos,-,"₹1,200 for two people (approx.) with alcohol"
Taste Of Punjab,4.1,₹500 for two people (approx.)
Fundoon,-,"₹1,000 for two people (approx.)"
Solanas Chinese & Thai,4.0,"₹1,000 for two people (approx.)"
Panchvati Gaurav,4.4,₹500 for two people (approx.)
The Bakery Next Door,4.0,₹250 for two people (approx.)
Indish - Radisson,4.9,"₹1,500 for two people (approx.)"
Pakwan,4.3,₹500 for two people (approx.)
Bistro 57,4.4,₹700 for two people (approx.)
The Bridge - Clark's Inn Suites,4.2,"₹1,500 for two people (approx.)"
Friends Zone,3.3,₹300 for two people (approx.)
The Moziac,3.6,"₹1,200 for two people (approx.)"
Delight Hotel - Nayi Sadak,3.2,₹400 for two people (approx.)
Velkim - Welcome Bakery,3.3,₹500 for two people (approx.)
Haldiram's Sweets and Namkeen,-,₹200 for two people (approx.)
Raj Bhoj,4.2,₹700 for two people (approx.)
Riceley,-,₹500 for two people (approx.)
Karishma Hotel,4.0,₹200 for two people (approx.)
Burger King,-,₹300 for two people (approx.)
Volga Restaurant,4.3,₹800 for two people (approx.)
Cafe Frespresso,4.1,₹750 for two people (approx.)
ChotiWala Restaurant,3.9,₹350 for two people (approx.)
Indian Coffee House,4.0,"₹1,000 for two people (approx.)"
The Royal Class Hotel,3.5,"₹1,000 for two people (approx.)"
Hotel Centella,3.6,₹500 for two people (approx.)
Barista Coffee,-,₹300 for two people (approx.)
Anand Restaurant,4.4,₹600 for two people (approx.)
Avadh Foods,3.8,₹100 for two people (approx.)
House Of Candy,-,₹200 for two people (approx.)
The Burger Company,3.8,₹600 for two people (approx.)
Pizza Hut,3.8,₹300 for two people (approx.)
Stockswala Cafe,4.1,₹700 for two people (approx.)
Mahalaxmi Restaurant,4.6,₹600 for two people (approx.)
Chaatizza,3.9,₹300 for two people (approx.)
Mughal Darbar,4.1,₹700 for two people (approx.)
Hotel Shelter - The Aroma Kitchen,4.0,"₹2,000 for two people (approx.) Without alcohol"
Shere Punjab Restaurant,4.2,₹600 for two people (approx.)
Hotel Ambience,3.5,"₹1,000 for two people (approx.)"
AdrakCha,-,₹350 for two people (approx.)
VSF Foods,-,₹200 for two people (approx.)
Dream Arena,4.4,₹600 for two people (approx.)
Shiv Shakti Pav Bhaji,3.9,₹200 for two people (approx.)
Nine Tea Nine,3.9,₹350 for two people (approx.)
Pizza Stop Cafe,3.9,₹400 for two people (approx.)
The Belgian Waffle Co.,3.2,₹300 for two people (approx.)
Alfanzo,4.2,₹500 for two people (approx.)
Pizza Stop Cafe,3.1,₹300 for two people (approx.)
Ashiyana Cafe,3.5,₹200 for two people (approx.)
Bake N Shake,3.9,₹400 for two people (approx.)
Shere Punjab Maharaja Express Restaurant,3.9,"₹1,000 for two people (approx.)"
Karchi Kadhai Restaurant,2.8,₹500 for two people (approx.)
La Pino'z Pizza,3.8,₹600 for two people (approx.)
Nothing Before Coffee,-,₹400 for two people (approx.)
Landmark,4.0,"₹1,500 for two people (approx.)"
