name,cuisine,price,link,main_cuisine,rating,cost_for_two
Molecule,"Asian, Chinese, Bar Food",1000,https://www.zomato.com/gwalior/molecule-lashkar/info,Asian,4.4,"₹1,000 for two people (approx.) Without alcohol"
Kwality Restaurant,"North Indian, Chinese, Continental, Biryani, Desserts",700,https://www.zomato.com/gwalior/kwality-restaurant-city-center/info,North Indian,4.8,₹700 for two people (approx.)
Muscle Vision Nutrition,"Continental, North Indian, Chinese, Sandwich, Fast Food, Shake, Juices, Beverages",450,https://www.zomato.com/gwalior/muscle-vision-nutrition-city-center/info,Continental,3.5,₹450 for two people (approx.)
Starbucks Coffee,"Cafe, Beverages, Coffee",900,https://www.zomato.com/gwalior/starbucks-coffee-city-center/info,Cafe,4.4,₹900 for two people (approx.)
Xero Degrees,"Pizza, Fast Food, Chinese, Burger, Sandwich, Italian, Shake, Beverages",450,https://www.zomato.com/gwalior/xero-degrees-city-center/info,Pizza,4,₹450 for two people (approx.)
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",700,https://www.zomato.com/gwalior/biryani-by-kilo-city-center/info,Biryani,4.6,₹700 for two people (approx.)
Param Food Complex,"Chinese, South Indian, North Indian, Italian, Fast Food, Street Food, Bakery, Beverages",500,https://www.zomato.com/gwalior/param-food-complex-3-city-center/info,Chinese,4.4,₹500 for two people (approx.)
Farzi Cafe,"North Indian, Chinese, Fast Food, Kebab",500,https://www.zomato.com/gwalior/farzi-cafe-mahalgaon/info,North Indian,3.2,₹500 for two people (approx.)
McDonald's,"Burger, Fast Food, Beverages, Coffee",500,https://www.zomato.com/gwalior/mcdonalds-lashkar/info,Burger,4.1,₹500 for two people (approx.)
"VYB - Cafe, Bar, Rooftop, Kitchen","Bar Food, Continental, North Indian, Italian, Middle Eastern, Chinese, Fast Food, Desserts",,https://www.zomato.com/gwalior/vyb-cafe-bar-rooftop-kitchen-city-center/info,Bar Food,4,"₹1,400 for two people (approx.) with alcohol"
Todos,"Bar Food, North Indian, Chinese, Seafood, Pizza, Pasta, Fast Food, Desserts",,https://www.zomato.com/gwalior/todos-lashkar/info,Bar Food,-,"₹1,200 for two people (approx.) with alcohol"
Taste Of Punjab,"North Indian, Chinese, Fast Food",500,https://www.zomato.com/gwalior/taste-of-punjab-1-thatipur/info,North Indian,4.1,₹500 for two people (approx.)
Fundoon,"Pizza, Burger, Fast Food, Shake, Beverages, Italian, Chinese",,https://www.zomato.com/gwalior/fundoon-city-center/info,Pizza,-,"₹1,000 for two people (approx.)"
Solanas Chinese & Thai,"Chinese, Thai, Momos, Beverages",,https://www.zomato.com/gwalior/solanas-chinese-thai-model-town/info,Chinese,4,"₹1,000 for two people (approx.)"
Panchvati Gaurav,"North Indian, Rajasthani",500,https://www.zomato.com/gwalior/panchvati-gaurav-city-center/info,North Indian,4.4,₹500 for two people (approx.)
The Bakery Next Door,"Bakery, Pizza, Sandwich, Burger, Fast Food, Chinese, Coffee, Beverages",250,https://www.zomato.com/gwalior/the-bakery-next-door-city-center/info,Bakery,4,₹250 for two people (approx.)
Indish - Radisson,"North Indian, Mughlai, Continental",,https://www.zomato.com/gwalior/indish-radisson-mahalgaon/info,North Indian,4.9,"₹1,500 for two people (approx.)"
Pakwan,"North Indian, Fast Food, Chinese, Italian",500,https://www.zomato.com/gwalior/pakwan-city-center/info,North Indian,4.3,₹500 for two people (approx.)
Bistro 57,"Pizza, Pasta, North Indian, Beverages, Chinese, Italian, Cafe, Desserts",700,https://www.zomato.com/gwalior/bistro-57-city-center/info,Pizza,4.4,₹700 for two people (approx.)
The Bridge - Clark's Inn Suites,"North Indian, Mughlai, Continental, Chinese, Shake",,https://www.zomato.com/gwalior/the-bridge-clarks-inn-suites-lashkar/info,North Indian,4.2,"₹1,500 for two people (approx.)"
