name,cuisine,link,main_cuisine,rating,cost
Molecule,"Asian, Chinese, Bar Food",https://www.zomato.com/gwalior/molecule-lashkar/info,Asian,4.4,1000
Kwality Restaurant,"North Indian, Chinese, Continental, Biryani, Desserts",https://www.zomato.com/gwalior/kwality-restaurant-city-center/info,North Indian,4.8,700
Muscle Vision Nutrition,"Continental, North Indian, Chinese, Sandwich, Fast Food, Shake, Juices, Beverages",https://www.zomato.com/gwalior/muscle-vision-nutrition-city-center/info,Continental,3.5,450
Starbucks Coffee,"Cafe, Beverages, Coffee",https://www.zomato.com/gwalior/starbucks-coffee-city-center/info,Cafe,4.4,900
Xero Degrees,"Pizza, Fast Food, Chinese, Burger, Sandwich, Italian, Shake, Beverages",https://www.zomato.com/gwalior/xero-degrees-city-center/info,Pizza,4.0,450
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",https://www.zomato.com/gwalior/biryani-by-kilo-city-center/info,Biryani,4.6,700
Param Food Complex,"Chinese, South Indian, North Indian, Italian, Fast Food, Street Food, Bakery, Beverages",https://www.zomato.com/gwalior/param-food-complex-3-city-center/info,Chinese,4.4,500
Farzi Cafe,"North Indian, Chinese, Fast Food, Kebab",https://www.zomato.com/gwalior/farzi-cafe-mahalgaon/info,North Indian,3.2,500
McDonald's,"Burger, Fast Food, Beverages, Coffee",https://www.zomato.com/gwalior/mcdonalds-lashkar/info,Burger,4.1,500
"VYB - Cafe, Bar, Rooftop, Kitchen","Bar Food, Continental, North Indian, Italian, Middle Eastern, Chinese, Fast Food, Desserts",https://www.zomato.com/gwalior/vyb-cafe-bar-rooftop-kitchen-city-center/info,Bar Food,4.0,1400
Todos,"Bar Food, North Indian, Chinese, Seafood, Pizza, Pasta, Fast Food, Desserts",https://www.zomato.com/gwalior/todos-lashkar/info,Bar Food,,1200
Taste Of Punjab,"North Indian, Chinese, Fast Food",https://www.zomato.com/gwalior/taste-of-punjab-1-thatipur/info,North Indian,4.1,500
Fundoon,"Pizza, Burger, Fast Food, Shake, Beverages, Italian, Chinese",https://www.zomato.com/gwalior/fundoon-city-center/info,Pizza,,1000
Solanas Chinese & Thai,"Chinese, Thai, Momos, Beverages",https://www.zomato.com/gwalior/solanas-chinese-thai-model-town/info,Chinese,4.0,1000
Panchvati Gaurav,"North Indian, Rajasthani",https://www.zomato.com/gwalior/panchvati-gaurav-city-center/info,North Indian,4.4,500
The Bakery Next Door,"Bakery, Pizza, Sandwich, Burger, Fast Food, Chinese, Coffee, Beverages",https://www.zomato.com/gwalior/the-bakery-next-door-city-center/info,Bakery,4.0,250
Indish - Radisson,"North Indian, Mughlai, Continental",https://www.zomato.com/gwalior/indish-radisson-mahalgaon/info,North Indian,4.9,1500
Pakwan,"North Indian, Fast Food, Chinese, Italian",https://www.zomato.com/gwalior/pakwan-city-center/info,North Indian,4.3,500
Bistro 57,"Pizza, Pasta, North Indian, Beverages, Chinese, Italian, Cafe, Desserts",https://www.zomato.com/gwalior/bistro-57-city-center/info,Pizza,4.4,700
The Bridge - Clark's Inn Suites,"North Indian, Mughlai, Continental, Chinese, Shake",https://www.zomato.com/gwalior/the-bridge-clarks-inn-suites-lashkar/info,North Indian,4.2,1500
Friends Zone,"Fast Food, Chinese, Pizza, Sandwich, Burger, Street Food, Tea, Beverages",https://www.zomato.com/gwalior/friends-zone-morar/info,Fast Food,3.3,300
The Moziac,"North Indian, Chinese, South Indian, Continental, Fast Food, Biryani, Desserts, Beverages",https://www.zomato.com/gwalior/the-moziac-city-center/info,North Indian,3.6,1200
Delight Hotel - Nayi Sadak,North Indian,https://www.zomato.com/gwalior/delight-hotel-nayi-sadak-lashkar/info,North Indian,3.2,400
Velkim - Welcome Bakery,"Bakery, South Indian, Chinese, North Indian, Fast Food, Pizza, Sandwich, Desserts",https://www.zomato.com/gwalior/velkim-welcome-bakery-lashkar/info,Bakery,3.3,500
Haldiram's Sweets and Namkeen,"Mithai, Beverages,",https://www.zomato.com/gwalior/haldirams-sweets-and-namkeen-shinde-ki-chhawani/info,Mithai,,200
Raj Bhoj,"North Indian, Chinese, Fast Food, Beverages",https://www.zomato.com/gwalior/raj-bhoj-city-center/info,North Indian,4.2,700
Riceley,"Biryani, North Indian, Chinese, Mexican, Fast Food, Desserts, Korean, Italian",https://www.zomato.com/gwalior/riceley-city-center/info,Biryani,,500
Karishma Hotel,North Indian,https://www.zomato.com/gwalior/karishma-hotel-birla-nagar/info,North Indian,4.0,200
Burger King,"Burger, Fast Food, Beverages",https://www.zomato.com/gwalior/burger-king-lashkar/info,Burger,,300
Volga Restaurant,"North Indian, Chinese, Mughlai, Biryani, Fast Food, Desserts, Beverages",https://www.zomato.com/gwalior/volga-restaurant-lashkar/info,North Indian,4.3,800
Cafe Frespresso,"Cafe, Tea, Beverages, Pizza, Sandwich, Pasta, Fast Food, Desserts",https://www.zomato.com/gwalior/cafe-frespresso-1-city-center/info,Cafe,4.1,750
ChotiWala Restaurant,"North Indian, Chinese",https://www.zomato.com/gwalior/chotiwala-restaurant-city-center/info,North Indian,3.9,350
