name,rating,cuisines,address,cost_for_two,timings,link
Molecule,4.4,", , View Gallery",,"₹1,000 for two people (approx.) Without alcohol","Molecule
4.4
95
Dining Ratings
-
0
Delivery Ratings
Asian, Chinese, Bar Food
6, Laxmi Bai Colony, MLB Road, Lashkar, Gwalior
Open now
12noon – 12midnight (Today)
₹1,000 for two
+919111888314
+1 more",https://www.zomato.com/gwalior/molecule-lashkar/info
Kwality Restaurant,4.8,", , View Gallery",,₹700 for two people (approx.),"Kwality Restaurant
4.8
433
Dining Ratings
4.5
17.6K
Delivery Ratings
North Indian, Chinese, Continental, Biryani, Desserts
Green Garden Road, Near SP Office, City Center, Gwalior
Open now
11am – 11pm (Today)
₹700 for two
+917512410456
+2 more",https://www.zomato.com/gwalior/kwality-restaurant-city-center/info
Muscle Vision Nutrition,3.5,", , View Gallery",,₹450 for two people (approx.),"Muscle Vision Nutrition
3.5
9
Dining Ratings
4.1
2,433
Delivery Ratings
Continental, North Indian, Chinese, Sandwich, Fast Food, Shake, Juices, Beverages
ground floor, The Masāra Mānar hotel, 887-888 kailash vihar, city center Gwalior , Patel nagar, kailash vihar city center , lakme salon RK tower, Gwalior
Open now
9am – 11pm (Today)
₹450 for two
+919893319366",https://www.zomato.com/gwalior/muscle-vision-nutrition-city-center/info
Starbucks Coffee,4.4,", , View Gallery",,₹900 for two people (approx.),"Starbucks Coffee
4.4
136
Dining Ratings
4.3
553
Delivery Ratings
Cafe, Beverages, Coffee
DB Mall, Racecourse Road, City Center, Gwalior
Open now
10am – 11pm (Today)
₹900 for two
18602660010",https://www.zomato.com/gwalior/starbucks-coffee-city-center/info
Xero Degrees,4.0,", , View Gallery",,₹450 for two people (approx.),"Xero Degrees
4.0
68
Dining Ratings
4.0
1,579
Delivery Ratings
Pizza, Fast Food, Chinese, Burger, Sandwich, Italian, Shake, Beverages
34, Pacific Tower, Kailash Vihar, City Center, Gwalior
Open now
12midnight – 1am, 11:15am – 12midnight (Today)
₹450 for two
+916265877068",https://www.zomato.com/gwalior/xero-degrees-city-center/info
Biryani By Kilo,4.6,", , View Gallery",,₹700 for two people (approx.),"Biryani By Kilo
4.6
486
Dining Ratings
4.1
7,542
Delivery Ratings
Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts
Plot 15 And 16, Block O, Bansi Plaza, Patel Nagar, Green Garden Road, City Center, Gwalior
Open now
11am – 11pm (Today)
₹700 for two
18002122212
+1 more",https://www.zomato.com/gwalior/biryani-by-kilo-city-center/info
Param Food Complex,4.4,", , View Gallery",,₹500 for two people (approx.),"Param Food Complex
4.4
1,207
Dining Ratings
4.2
63.6K
Delivery Ratings
Chinese, South Indian, North Indian, Italian, Fast Food, Street Food, Bakery, Beverages
1st Floor, Millennium Plaza, Govindpuri Road, City Center, Gwalior
Open now
8am – 11pm (Today)
₹500 for two
+917400737733
+1 more",https://www.zomato.com/gwalior/param-food-complex-3-city-center/info
Farzi Cafe,3.2,", , View Gallery",,₹500 for two people (approx.),"Farzi Cafe
3.2
4
Dining Ratings
4.0
54
Delivery Ratings
North Indian, Chinese, Fast Food, Kebab
Plot 14, City Center, Near Sada Office, Mahalgaon, Gwalior
Open now
12:30pm – 11:30pm (Today)
₹500 for two
+919131928710",https://www.zomato.com/gwalior/farzi-cafe-mahalgaon/info
McDonald's,4.1,", , ₹500 for two people (approx.)",,₹500 for two people (approx.),"McDonald's
4.1
1,093
Dining Ratings
3.9
32K
Delivery Ratings
Burger, Fast Food, Beverages, Coffee
DD City Mall, PHD Phool Bagh, MLB Road, Lashkar, Gwalior
Open now
12midnight – 12:45am, 11am – 12midnight (Today)
₹500 for two
+919893598343
+1 more",https://www.zomato.com/gwalior/mcdonalds-lashkar/info
"VYB - Cafe, Bar, Rooftop, Kitchen",4.0,", , View Gallery",,"₹1,400 for two people (approx.) with alcohol","VYB - Cafe, Bar, Rooftop, Kitchen
4.0
15
Dining Ratings
4.2
194
Delivery Ratings
Bar Food, Continental, North Indian, Italian, Middle Eastern, Chinese, Fast Food, Desserts
9-B, Saraswati Nagar, University Road, City Center, Gwalior
Open now
12noon – 11:45pm (Today)
₹1,400 for two
+919522116222",https://www.zomato.com/gwalior/vyb-cafe-bar-rooftop-kitchen-city-center/info
Todos,-,", , ₹1,200 for two people (approx.) with alcohol",,"₹1,200 for two people (approx.) with alcohol","Todos
-
0
Dining Ratings
-
0
Delivery Ratings
Bar Food, North Indian, Chinese, Seafood, Pizza, Pasta, Fast Food, Desserts
The Ved Mantra, Roshni Ghar Road, Lashkar, Gwalior
Open now
1pm – 11:45pm (Today)
₹1,200 for two
+917777860141",https://www.zomato.com/gwalior/todos-lashkar/info
Taste Of Punjab,4.1,", , View Gallery",,₹500 for two people (approx.),"Taste Of Punjab
4.1
928
Dining Ratings
4.1
11.7K
Delivery Ratings
North Indian, Chinese, Fast Food
University Road, New Vivekanand Colony, Silver Estates, Thatipur, Gwalior
Open now
11am – 11pm (Today)
₹500 for two
+917067116616",https://www.zomato.com/gwalior/taste-of-punjab-1-thatipur/info
Fundoon,-,", , View Gallery",,"₹1,000 for two people (approx.)","Fundoon
-
2
Dining Ratings
3.7
12
Delivery Ratings
Pizza, Burger, Fast Food, Shake, Beverages, Italian, Chinese
Ground Floor, KBC Building, Near Airtel Office, City Center, Gwalior
Open now
11am – 11pm (Today)
₹1,000 for two
+917999679653",https://www.zomato.com/gwalior/fundoon-city-center/info
Solanas Chinese & Thai,4.0,", , View Gallery",,"₹1,000 for two people (approx.)","Solanas Chinese & Thai
4.0
8
Dining Ratings
4.3
1,185
Delivery Ratings
Chinese, Thai, Momos, Beverages
A-1, New Govindpuri, Sachin Tendulkar Marg, Model Town, Gwalior
Open now
11:30am – 12midnight (Today)
₹1,000 for two
+916260963720",https://www.zomato.com/gwalior/solanas-chinese-thai-model-town/info
Panchvati Gaurav,4.4,", , View Gallery",,₹500 for two people (approx.),"Panchvati Gaurav
4.4
237
Dining Ratings
4.4
6,181
Delivery Ratings
North Indian, Rajasthani
First Floor, Fortune Plaza, Madhav Rao Scindia Marg, City Center, Gwalior
Closes in 1 hour 32 minutes
1pm – 4pm, 7pm – 10:30pm (Today)
₹500 for two
+917514700001
+1 more",https://www.zomato.com/gwalior/panchvati-gaurav-city-center/info
The Bakery Next Door,4.0,", , View Gallery",,₹250 for two people (approx.),"The Bakery Next Door
4.0
16
Dining Ratings
4.5
363
Delivery Ratings
Bakery, Pizza, Sandwich, Burger, Fast Food, Chinese, Coffee, Beverages
186, 187 Patel Nagar, City Center, Gwalior
Closes in 1 hour 32 minutes
2pm – 10:30pm (Today)
₹250 for two
+919244584542
+1 more",https://www.zomato.com/gwalior/the-bakery-next-door-city-center/info
Indish - Radisson,4.9,", , View Gallery",,"₹1,500 for two people (approx.)","Indish - Radisson
4.9
199
Dining Ratings
4.0
474
Delivery Ratings
North Indian, Mughlai, Continental
Radisson Gwalior, Patel Nagar, Mahalgaon, Gwalior
Open now
12noon – 11pm (Today)
₹1,500 for two
+917517105555",https://www.zomato.com/gwalior/indish-radisson-mahalgaon/info
Pakwan,4.3,", , View Gallery",,₹500 for two people (approx.),"Pakwan
4.3
38
Dining Ratings
4.2
1,629
Delivery Ratings
North Indian, Fast Food, Chinese, Italian
Dk Towers, Opp Income Tax Office, City Center, Gwalior
Open now
12midnight – 12:30am, 11:45am – 12midnight (Today)
₹500 for two
+919713415155",https://www.zomato.com/gwalior/pakwan-city-center/info
Bistro 57,4.4,", , View Gallery",,₹700 for two people (approx.),"Bistro 57
4.4
103
Dining Ratings
4.1
2,938
Delivery Ratings
Pizza, Pasta, North Indian, Beverages, Chinese, Italian, Cafe, Desserts
B 99, Near Green Garden, Patel Nagar, City Center, Gwalior
Closes in 1 hour 47 minutes
11:45am – 10:45pm (Today)
₹700 for two
+917838828743
+1 more",https://www.zomato.com/gwalior/bistro-57-city-center/info
The Bridge - Clark's Inn Suites,4.2,", , View Gallery",,"₹1,500 for two people (approx.)","The Bridge - Clark's Inn Suites
4.2
67
Dining Ratings
4.1
895
Delivery Ratings
North Indian, Mughlai, Continental, Chinese, Shake
Clark's Inn Suites, MLB Road, Phoolbagh, Lashkar, Gwalior
Open now
7am – 11pm (Today)
₹1,500 for two
+917514037999",https://www.zomato.com/gwalior/the-bridge-clarks-inn-suites-lashkar/info
Friends Zone,3.3,", , ₹300 for two people (approx.)",,₹300 for two people (approx.),"Friends Zone
3.3
5
Dining Ratings
4.0
6
Delivery Ratings
Fast Food, Chinese, Pizza, Sandwich, Burger, Street Food, Tea, Beverages
Singhpur Road, Near Mari Mata Mandir, Morar, Gwalior
Closes in 57 minutes
12noon – 9:15pm (Today)
₹300 for two
+917440856201",https://www.zomato.com/gwalior/friends-zone-morar/info
The Moziac,3.6,", , View Gallery",,"₹1,200 for two people (approx.)","The Moziac
3.6
9
Dining Ratings
4.1
687
Delivery Ratings
North Indian, Chinese, South Indian, Continental, Fast Food, Biryani, Desserts, Beverages
Saraswati Nagar, University Road, City Center, Gwalior
Open now
11am – 11pm (Today)
₹1,200 for two
+919713144400",https://www.zomato.com/gwalior/the-moziac-city-center/info
Delight Hotel - Nayi Sadak,3.2,", , View Gallery",,₹400 for two people (approx.),"Delight Hotel - Nayi Sadak
3.2
28
Dining Ratings
4.2
3,985
Delivery Ratings
North Indian
Nai Sadak Lashkar, Lashkar, Gwalior
Open now
12noon – 11pm (Today)
₹400 for two
+917514062444",https://www.zomato.com/gwalior/delight-hotel-nayi-sadak-lashkar/info
Velkim - Welcome Bakery,3.3,", , View Gallery",,₹500 for two people (approx.),"Velkim - Welcome Bakery
3.3
11
Dining Ratings
4.3
66
Delivery Ratings
Bakery, South Indian, Chinese, North Indian, Fast Food, Pizza, Sandwich, Desserts
Opposite Old High Court, Lashkar, Gwalior
Closes in 1 hour 2 minutes
11am – 10pm (Today)
₹500 for two
+919893272368",https://www.zomato.com/gwalior/velkim-welcome-bakery-lashkar/info
Haldiram's Sweets and Namkeen,-,", , View Gallery",,₹200 for two people (approx.),"Haldiram's Sweets and Namkeen
-
1
Dining Ratings
4.4
156
Delivery Ratings
Mithai, Beverages,
Thakkar Building, M.L.B Road, Opposite Gurudwara, Shinde Ki Chhawani, Gwalior
Temporarily closed for delivery, will be back soon!
₹200 for two
+917030000146",https://www.zomato.com/gwalior/haldirams-sweets-and-namkeen-shinde-ki-chhawani/info
Raj Bhoj,4.2,", , View Gallery",,₹700 for two people (approx.),"Raj Bhoj
4.2
301
Dining Ratings
3.9
3,964
Delivery Ratings
North Indian, Chinese, Fast Food, Beverages
Main Road, Opposite Nagar Nigam Head Office, City Center, Gwalior
Open now
11am – 11:30pm (Today)
₹700 for two
+917514922433
+1 more",https://www.zomato.com/gwalior/raj-bhoj-city-center/info
Riceley,-,", , View Gallery",,₹500 for two people (approx.),"Riceley
-
3
Dining Ratings
4.3
4,480
Delivery Ratings
Biryani, North Indian, Chinese, Mexican, Fast Food, Desserts, Korean, Italian
G-184, Patel Nagar, City Center, Gwalior
Open now
12midnight – 3am, 11am – 12midnight (Today)
₹500 for two
+918806909888",https://www.zomato.com/gwalior/riceley-city-center/info
Karishma Hotel,4.0,", , View Gallery",,₹200 for two people (approx.),"Karishma Hotel
4.0
70
Dining Ratings
4.2
5,666
Delivery Ratings
North Indian
Sharma Farm Road, Hazira, Near Royal Fashion Club, Birla Nagar, Gwalior
Open now
9am – 12midnight (Today)
₹200 for two
+919009339750",https://www.zomato.com/gwalior/karishma-hotel-birla-nagar/info
Burger King,-,", , ₹300 for two people (approx.)",,₹300 for two people (approx.),"Burger King
-
2
Dining Ratings
4.1
978
Delivery Ratings
Burger, Fast Food, Beverages
Shop G-1 & G-2, Ground Floor, Dindayal City Mall, Maharani Laxmibai Marg, Lashkar, Gwalior
Open now
12midnight – 1am, 10am – 12midnight (Today)
₹300 for two
+919653270274",https://www.zomato.com/gwalior/burger-king-lashkar/info
Volga Restaurant,4.3,", , View Gallery",,₹800 for two people (approx.),"Volga Restaurant
4.3
333
Dining Ratings
4.2
8,035
Delivery Ratings
North Indian, Chinese, Mughlai, Biryani, Fast Food, Desserts, Beverages
Jayendra Ganj, Near Parasmani Mall, Lashkar, Gwalior
Open now
12noon – 11pm (Today)
₹800 for two
+918349087222
+1 more",https://www.zomato.com/gwalior/volga-restaurant-lashkar/info
Cafe Frespresso,4.1,", , View Gallery",,₹750 for two people (approx.),"Cafe Frespresso
4.1
6
Dining Ratings
4.1
126
Delivery Ratings
Cafe, Tea, Beverages, Pizza, Sandwich, Pasta, Fast Food, Desserts
Narayan Krishna Complex, Madhav Rao Scindia Marg, City Center, Gwalior
Open now
11am – 11:15pm (Today)
₹750 for two
+916263050619",https://www.zomato.com/gwalior/cafe-frespresso-1-city-center/info
