name,cuisine,price,link
,,,https://www.zomato.com/gwalior/molecule-lashkar/info
Molecule,"Asian, Chinese, Bar Food","₹1,000 for two",https://www.zomato.com/gwalior/molecule-lashkar/info
,,,https://www.zomato.com/gwalior/kwality-restaurant-city-center/info
Kwality Restaurant,"North Indian, Chinese, Continental, Biryani, Desserts",₹700 for two,https://www.zomato.com/gwalior/kwality-restaurant-city-center/info
,,,https://www.zomato.com/gwalior/muscle-vision-nutrition-city-center/info
Muscle Vision Nutrition,"Continental, North Indian, Chinese, Sandwich, Fast Food, Shake, Juices, Beverages",₹450 for two,https://www.zomato.com/gwalior/muscle-vision-nutrition-city-center/info
,,,https://www.zomato.com/gwalior/starbucks-coffee-city-center/info
Starbucks Coffee,"Cafe, Beverages, Coffee",₹900 for two,https://www.zomato.com/gwalior/starbucks-coffee-city-center/info
,,,https://www.zomato.com/gwalior/xero-degrees-city-center/info
Xero Degrees,"Pizza, Fast Food, Chinese, Burger, Sandwich, Italian, Shake, Beverages",₹450 for two,https://www.zomato.com/gwalior/xero-degrees-city-center/info
,,,https://www.zomato.com/gwalior/biryani-by-kilo-city-center/info
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",₹700 for two,https://www.zomato.com/gwalior/biryani-by-kilo-city-center/info
,,,https://www.zomato.com/gwalior/param-food-complex-3-city-center/info
Param Food Complex,"Chinese, South Indian, North Indian, Italian, Fast Food, Street Food, Bakery, Beverages",₹500 for two,https://www.zomato.com/gwalior/param-food-complex-3-city-center/info
,,,https://www.zomato.com/gwalior/farzi-cafe-mahalgaon/info
Farzi Cafe,"North Indian, Chinese, Fast Food, Kebab",₹500 for two,https://www.zomato.com/gwalior/farzi-cafe-mahalgaon/info
,,,https://www.zomato.com/gwalior/mcdonalds-lashkar/info
McDonald's,"Burger, Fast Food, Beverages, Coffee",₹500 for two,https://www.zomato.com/gwalior/mcdonalds-lashkar/info
,,,https://www.zomato.com/gwalior/vyb-cafe-bar-rooftop-kitchen-city-center/info
"VYB - Cafe, Bar, Rooftop, Kitchen","Bar Food, Continental, North Indian, Italian, Middle Eastern, Chinese, Fast Food, Desserts","₹1,400 for two",https://www.zomato.com/gwalior/vyb-cafe-bar-rooftop-kitchen-city-center/info
,,,https://www.zomato.com/gwalior/todos-lashkar/info
Todos,"Bar Food, North Indian, Chinese, Seafood, Pizza, Pasta, Fast Food, Desserts","₹1,200 for two",https://www.zomato.com/gwalior/todos-lashkar/info
,,,https://www.zomato.com/gwalior/taste-of-punjab-1-thatipur/info
Taste Of Punjab,"North Indian, Chinese, Fast Food",₹500 for two,https://www.zomato.com/gwalior/taste-of-punjab-1-thatipur/info
,,,https://www.zomato.com/gwalior/fundoon-city-center/info
Fundoon,"Pizza, Burger, Fast Food, Shake, Beverages, Italian, Chinese","₹1,000 for two",https://www.zomato.com/gwalior/fundoon-city-center/info
,,,https://www.zomato.com/gwalior/solanas-chinese-thai-model-town/info
Solanas Chinese & Thai,"Chinese, Thai, Momos, Beverages","₹1,000 for two",https://www.zomato.com/gwalior/solanas-chinese-thai-model-town/info
,,,https://www.zomato.com/gwalior/panchvati-gaurav-city-center/info
Panchvati Gaurav,"North Indian, Rajasthani",₹500 for two,https://www.zomato.com/gwalior/panchvati-gaurav-city-center/info
,,,https://www.zomato.com/gwalior/the-bakery-next-door-city-center/info
The Bakery Next Door,"Bakery, Pizza, Sandwich, Burger, Fast Food, Chinese, Coffee, Beverages",₹250 for two,https://www.zomato.com/gwalior/the-bakery-next-door-city-center/info
,,,https://www.zomato.com/gwalior/indish-radisson-mahalgaon/info
Indish - Radisson,"North Indian, Mughlai, Continental","₹1,500 for two",https://www.zomato.com/gwalior/indish-radisson-mahalgaon/info
,,,https://www.zomato.com/gwalior/pakwan-city-center/info
Pakwan,"North Indian, Fast Food, Chinese, Italian",₹500 for two,https://www.zomato.com/gwalior/pakwan-city-center/info
,,,https://www.zomato.com/gwalior/bistro-57-city-center/info
Bistro 57,"Pizza, Pasta, North Indian, Beverages, Chinese, Italian, Cafe, Desserts",₹700 for two,https://www.zomato.com/gwalior/bistro-57-city-center/info
,,,https://www.zomato.com/gwalior/the-bridge-clarks-inn-suites-lashkar/info
The Bridge - Clark's Inn Suites,"North Indian, Mughlai, Continental, Chinese, Shake","₹1,500 for two",https://www.zomato.com/gwalior/the-bridge-clarks-inn-suites-lashkar/info
,,,https://www.zomato.com/gwalior/friends-zone-morar/info
Friends Zone,"Fast Food, Chinese, Pizza, Sandwich, Burger, Street Food, Tea, Beverages",₹300 for two,https://www.zomato.com/gwalior/friends-zone-morar/info
,,,https://www.zomato.com/gwalior/the-moziac-city-center/info
